AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
41,Niobium,92.910,Nb,2468,4927.0,8.5700000,1801,6.7589,5,5,Transition metal,1.43,solid,53.70000,268.00,0.893000,14,metal,Cubic body centered,Charles Hatchet,0.18,yes,welding rods
42,Molybdenum,95.940,Mo,2617,4612.0,10.2200000,1778,7.0924,5,6,Transition metal,1.36,solid,138.00000,251.00,0.746000,16,metal,Cubic body centered,Carl Wilhelm Scheele,0.11,yes,filament in electric heaters
43,Technetium,98.910,Tc,2200,4877.0,11.5000000,1937,7.2800,5,7,Transition metal,1.30,unstable,0.50600,240.00,0.550000,15,metal,Hexagonal,Carlos Perrier,,no,radiation source for medical research
44,Ruthenium,101.100,Ru,2250,3900.0,12.2000000,1844,7.3605,5,8,Transition metal,1.33,solid,117.00000,238.00,1.050000,15,metal,Hexagonal,Karl Klaus,14,yes,eye treatment
45,Rhodium,102.900,Rh,1966,3727.0,12.4000000,1803,7.4589,5,9,Transition metal,1.34,solid,150.00000,244.00,1.137000,17,metal,Cubic face centered,William Hyde Wollaston,130,yes,headlight reflectors
46,Palladium,106.400,Pd,1552,2927.0,12.0000000,1803,8.3369,5,10,Transition metal,1.38,solid,71.80000,244.00,0.557000,18,metal,Cubic face centered,William Hyde Wollaston,0.15,yes,dental crowns
47,Silver,107.900,Ag,961.93,2212.0,10.5000000,,7.5762,5,11,Transition metal,1.44,solid,429.00000,237.00,1.302000,16,metal,Cubic face centered,,1.2,yes,silverware
48,Cadmium,112.400,Cd,320.9,765.0,8.6400000,1817,8.9938,5,12,Transition metal,1.49,solid,96.90000,232.00,,17,metal,Hexagonal,Fredrich Stromeyer,0.06,yes,rechargable batteries
49,Indium,114.800,In,156.61,2000.0,7.3000000,1863,5.7864,5,13,Poor metal,1.62,solid,81.80000,234.00,0.300000,19,metal,Tetragonal,Ferdinand Reich,1.2,yes,transistors
50,Tin,118.700,Sn,231.9,2270.0,7.2800000,,7.3439,5,14,Poor metal,1.40,solid,66.80000,213.00,1.112000,25,metal,Tetragonal,,0.08,yes,organ pipes
